PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0hSle,r2q1rk1/1pp2p2/p1nb3Q/3np2b/2B1P3/3P1N1P/PPP3P1/R4RK1 b - - 0 15,h5g6 c4d5 d8f6 f3h4 f6g7 h6g6,2268,78,93,1905,crushing hangingPiece long middlegame pin,https://lichess.org/dFaNUvF3/black#30,Vienna_Game Vienna_Game_Vienna_Gambit
0lP7T,8/1KP5/4k2R/8/2r5/1p6/8/8 b - - 1 47,e6d5 h6h5 d5d6 c7c8q c4c8 b7c8,2268,85,90,300,advancedPawn crushing endgame long promotion rookEndgame,https://lichess.org/zMxz5F55/black#94,
0mFva,r4rk1/1pp1b1pp/n2p4/p2P3q/2P1pPn1/PP3NPb/1B3PBP/R2QRNK1 b - - 0 15,e4f3 e1e7 f8f7 e7f7,2268,77,80,140,advantage hangingPiece master middlegame short,https://lichess.org/KPqBE3pL/black#30,Rat_Defense Rat_Defense_English_Rat
0qvOp,r4rk1/p1pbR1pp/1p1p2pq/3P4/2PN4/P1P5/6PP/1R1Q3K b - - 3 19,f8f7 e7f7 g8f7 d1f3 f7g8 b1f1 d7f5 g2g4,2268,92,90,151,advantage attraction clearance middlegame quietMove veryLong,https://lichess.org/En9GNZZb/black#38,
0rbeE,r4k1N/1bq3p1/p7/2b1n2p/2B3n1/2P3P1/PP1P1P1P/RNBQ1RK1 w - - 1 14,c4e2 c7c6 h8g6 f8e8,2268,81,65,57,advantage defensiveMove middlegame quietMove short,https://lichess.org/J9ITGMMN#27,Scandinavian_Defense Scandinavian_Defense_Kloosterboer_Gambit
0wJ28,5rk1/1p1brppp/2p5/p3P3/3q1R2/1B4Q1/P5PP/5R1K b - - 6 24,d4e5 f4f7 f8f7 f1f7 e5g3 f7e7 g3b3 a2b3,2268,94,89,110,advantage discoveredAttack discoveredCheck middlegame sacrifice veryLong,https://lichess.org/KiMlQtox/black#48,
0092V,r2qk1nr/ppp3pp/2n5/1B1pp3/1b1P4/5Q1P/PP1B1PP1/RN2K2R b KQkq - 3 11,e5e4 b5c6 b7c6 f3h5 g7g6 h5e5,2267,82,85,1243,crushing exposedKing long opening,https://lichess.org/bW5LiCa5/black#22,Ponziani_Opening Ponziani_Opening_Other_variations
05XCO,8/8/2k5/2P2ppp/2K1p3/6PP/5P2/8 b - - 0 36,g5g4 h3g4 f5g4 c4d4 e4e3 d4e3,2267,78,92,747,crushing endgame long pawnEndgame,https://lichess.org/o6rPVeSP/black#72,
0BY7H,8/kp4R1/1p1P2p1/1P2K3/6rp/8/8/8 b - - 4 47,g4g5 e5e6 h4h3 d6d7 h3h2 d7d8q h2h1q d8g5,2267,77,93,9492,advancedPawn crushing defensiveMove endgame promotion rookEndgame veryLong,https://lichess.org/cn1YMaL2/black#94,
0BixS,8/3r4/8/1k6/1P1p4/P2K3R/8/8 w - - 6 50,d3e4 b5c4 h3h1 d7e7 e4f5 d4d3,2267,78,91,2595,crushing endgame long rookEndgame,https://lichess.org/ul1g9TTN#99,
0BjAV,5R2/8/P7/8/6k1/2b3pp/8/7K w - - 2 52,a6a7 g3g2 h1h2 c3e5 h2g1 e5d4 f8f2 g4g3 a7a8q h3h2,2267,80,86,689,advancedPawn endgame exposedKing mate mateIn5 pin veryLong,https://lichess.org/oPMMTyiN#103,
0EiLQ,r3k1r1/pbppBp2/1pn4p/8/2B3q1/5N2/P3Q1PP/1N2R1K1 b q - 0 18,c6d4 c4f7 e8f7 f3e5 f7e8 e2g4 g8g4 e5g4,2267,79,84,229,advantage attackingF2F7 attraction discoveredAttack fork middlegame sacrifice veryLong,https://lichess.org/qKNCIUI5/black#36,Center_Game Center_Game_Lanc-Arnold_Gambit
0K8PB,2b2kn1/2pp1p1Q/1p6/2qNn3/4P3/8/rPP1B1PP/2KR1R2 w - - 0 18,c1b1 c5a5 c2c3 a5a4 b1c1 a4b3 c1d2 b3b2 d2e3 b2e2,2267,74,93,2148,crushing middlegame queensideAttack veryLong,https://lichess.org/nfJZLz4m#35,Scotch_Game Scotch_Game_Blumenfeld_Attack
0KKXp,8/7p/pR6/6pk/P3p3/6K1/1P1pr2P/5R2 w - - 0 38,f1f6 e2e3 g3f2 d2d1q,2267,78,69,105,advancedPawn advantage endgame promotion rookEndgame short,https://lichess.org/O4K5ysot#75,
0KM0e,r4rk1/ppp2ppp/3pq3/2bPp1B1/4P3/P4P1P/1PP2P2/R1Q1K2R b KQ - 0 14,e6d7 g5f6 d7d8 f6d8,2267,78,95,1966,crushing middlegame short,https://lichess.org/xdF9Yvjb/black#28,Italian_Game Italian_Game_Giuoco_Pianissimo
0M1xW,r1b2rk1/ppQ3pp/8/3p3N/3q4/8/PP3PPP/R4RK1 b - - 0 19,d4b2 a1b1 b2d4 b1b4,2267,76,99,179,advantage middlegame short,https://lichess.org/yPpC2nGt/black#38,
0MA5q,r5k1/pp3pp1/2P2q1p/P2pN3/2nPr3/2Q3P1/5P1P/R4RK1 b - - 0 20,c4e5 c6b7 a8b8 c3c8 f6d8 c8d8 b8d8 d4e5,2267,79,79,127,advancedPawn crushing middlegame veryLong,https://lichess.org/mln9DGaR/black#40,
0Pi94,6r1/2p2Qpk/1p1p2N1/p2P1P2/q2bb3/4B3/1P4PP/2R3K1 w - - 4 30,g6f8 g8f8 f7g6 h7h8,2267,84,89,872,crushing middlegame short,https://lichess.org/23xsJHCG#59,
0X8lm,2krrq2/1p4p1/p1p2p1p/4n3/PP2QB2/6Pb/B1P2P1P/R3R1K1 b - - 2 22,f6f5 e4e3 f8b4 f4e5,2267,77,86,104,crushing middlegame short,https://lichess.org/a8PzzAaY/black#44,
0Xuv8,2q3k1/5ppp/1r2pb2/1p1p4/1PrNnP2/P2QP1PP/1BR3K1/2R5 b - - 0 26,f6d4 c2c4 b5c4 d3d4 f7f6 d4b6,2267,85,90,632,advantage capturingDefender intermezzo long middlegame,https://lichess.org/a9vdg7l4/black#52,
0YXfk,r4rk1/pp3ppp/6b1/3pN3/4n3/2P1q3/PPQ1B1PP/RN2KR2 w Q - 1 15,e5g6 f7g6 b1d2 e4d2 f1f8 a8f8,2267,85,86,458,crushing long middlegame,https://lichess.org/cG1gJREJ#29,Sicilian_Defense Sicilian_Defense_Godiva_Variation
0d0ZF,r6k/p1rbBRp1/1bp4p/4p3/2B1PnP1/2NR3P/PPP5/7K w - - 1 21,d3g3 d7e6 c4e6 f4e6,2267,77,90,1425,advantage middlegame short,https://lichess.org/wM7VKYUJ#41,
0dndE,4r1k1/p4pp1/7p/3p3Q/3P4/1r2q1P1/2R1B2P/5RK1 w - - 0 29,g1g2 e3e4 g2g1 g7g6 h5h6 e4c2,2267,81,91,735,advantage fork long master middlegame,https://lichess.org/oD5sF9A3#57,
0fFEV,r7/1b2pk2/1p6/pP1qp1N1/5Pp1/8/P2Q4/4K2R b K - 1 35,f7g6 d2c2 e5e4 c2h2 g6f5 h2h7,2267,93,87,331,crushing endgame long quietMove,https://lichess.org/IJ1Mr1rB/black#70,
0fSac,4rr2/6kp/3p1p2/2pP1RpQ/1pP1P3/pP4PP/q1B2R1K/8 w - - 0 36,f5g5 f6g5 f2g2 e8e5,2267,75,93,445,advantage middlegame short,https://lichess.org/SlK2OjIw#71,
0iNgV,8/1r2k3/2P2p1p/3P1Pp1/p1K1p1P1/1p4P1/8/1R6 b - - 0 43,b7b8 c4c5 e7d8 d5d6 d8c8 b1h1 b3b2 h1h6,2267,129,86,22,crushing endgame rookEndgame veryLong,https://lichess.org/dWH1ju71/black#86,
0k8xC,r3qrk1/1p3pB1/p2p4/b2N1Q1p/4P1nP/8/PPP3P1/2KR4 b - - 0 24,e8e6 f5g5 e6g6 d5e7 g8g7 e7g6 f7g6 g5a5,2267,76,93,6816,advantage fork middlegame veryLong,https://lichess.org/2XpVcZnx/black#48,
0mrtl,r6k/p4Rpp/8/8/4Q3/8/q1r3PP/5R1K b - - 1 24,a8g8 f7g7 g8g7 f1f8 a2g8 f8g8 g7g8 e4c2,2267,76,94,3083,clearance crushing endgame sacrifice veryLong,https://lichess.org/PcnnN5FB/black#48,
0oogt,6k1/p2b3p/3Np1pP/1p2PpN1/1P1p1P2/P7/6P1/2n3K1 b - - 0 36,c1d3 g2g3 a7a5 b4a5 b5b4 a3b4,2267,82,78,46,crushing endgame long quietMove,https://lichess.org/cARwBQdQ/black#72,
0qSsA,r1bqrnk1/pp2bppp/2p5/3p2B1/3PnN2/3B1Q1P/PPPN1PP1/R4RK1 w - - 8 12,d2e4 d5e4 g5e7 d8e7,2267,76,92,3578,crushing middlegame short,https://lichess.org/H6zKebrI#23,French_Defense French_Defense_Exchange_Variation
